model,cc,cc_lower_bound,cc_upper_bound,error_bar_lower,error_bar_upper,total_params_billion,active_params_billion,avg_output_tokens_at_cc,notes
deepseek/deepseek-chat,0,0,32,0,32,,,,
deepseek/deepseek-chat-v3-0324,56,56,60,5,4,685.0,685.0,1.7917,
deepseek/deepseek-chat-v3.1,0,0,32,0,32,671.0,37.0,,
deepseek/deepseek-r1,32,32,36,3,4,671.0,37.0,3395.3750,
deepseek/deepseek-r1-0528,72,72,80,7,8,671.0,37.0,7136.1458,
deepseek/deepseek-r1-distill-llama-70b,32,32,36,3,4,70.0,70.0,1112.3125,
deepseek/deepseek-r1-distill-qwen-32b,0,0,32,0,32,32.0,32.0,,
deepseek/deepseek-v3.1-terminus,0,0,32,0,32,,,,
deepseek/deepseek-v3.2,0,0,32,0,32,,,,
deepseek/deepseek-v3.2-exp,0,0,32,0,32,,,,
deepseek/deepseek-v3.2-speciale,32,32,36,3,4,,,3588.6875,
gemma-3-12b-it,32,32,36,3,4,12.0,12.0,,
gemma-3-27b-it,36,36,40,3,4,27.0,27.0,,
gemma-4-26b-a4b-it,56,56,60,5,4,26.0,4.0,1.8750,
gemma-4-31b-it,64,64,68,6,4,31.0,31.0,1.9375,
google/gemma-2-27b-it,0,0,32,0,32,27.0,27.0,,
google/gemma-3-12b-it,32,32,36,3,4,12.0,12.0,3.0000,
google/gemma-3-27b-it,0,0,32,0,32,27.0,27.0,,
google/gemma-3-4b-it,0,0,32,0,32,4.0,4.0,,
google/gemma-3n-e4b-it,0,0,32,0,32,4.0,4.0,,
meta-llama/llama-3-70b-instruct,0,0,32,0,32,70.0,70.0,,
meta-llama/llama-3-8b-instruct,0,0,32,0,32,8.0,8.0,,
meta-llama/llama-3.1-70b-instruct,36,36,40,3,4,70.0,70.0,2.0000,
meta-llama/llama-3.1-8b-instruct,0,0,32,0,32,8.0,8.0,,
meta-llama/llama-3.2-3b-instruct,0,0,32,0,32,3.0,3.0,,
meta-llama/llama-3.3-70b-instruct,32,32,36,3,4,70.0,70.0,2.0000,
meta-llama/llama-4-maverick,96,96,104,9,8,17.0,17.0,2.0000,
meta-llama/llama-4-scout,0,0,32,0,32,17.0,17.0,,
microsoft/phi-4,0,0,32,0,32,14.0,14.0,,
minimax/minimax-01,56,56,60,5,4,456.0,456.0,1.0000,
minimax/minimax-m2,40,40,44,4,4,,10.0,665.8125,
minimax/minimax-m2.1,52,52,56,5,4,,10.0,2491.5833,
minimax/minimax-m2.5,36,36,40,3,4,,,781.6250,
minimax/minimax-m2.7,32,32,36,3,4,,,806.8125,
mistralai/devstral-2512,40,40,44,4,4,123.0,123.0,3.0000,
mistralai/devstral-small,32,32,36,3,4,24.0,24.0,3.0000,
mistralai/ministral-14b-2512,32,32,36,3,4,14.0,14.0,3.0000,
mistralai/ministral-3b-2512,0,0,32,0,32,3.0,3.0,,
mistralai/ministral-8b-2512,0,0,32,0,32,8.0,8.0,,
mistralai/mistral-7b-instruct-v0.1,0,0,32,0,32,7.3,7.3,,
mistralai/mistral-nemo,0,0,32,0,32,12.0,12.0,,
mistralai/mistral-small-24b-instruct-2501,36,36,40,3,4,24.0,24.0,3.0000,
mistralai/mistral-small-2603,52,52,56,5,4,119.0,119.0,3.0000,
mistralai/mistral-small-3.1-24b-instruct,0,0,32,0,32,24.0,24.0,,
mistralai/mistral-small-3.2-24b-instruct,32,32,36,3,4,24.0,24.0,3.0000,
mistralai/mixtral-8x22b-instruct,52,52,56,5,4,176.0,39.0,3.0000,
mistralai/mixtral-8x7b-instruct,0,0,32,0,32,56.0,14.0,,
mistralai/voxtral-small-24b-2507,0,0,32,0,32,24.0,24.0,,
moonshotai/kimi-k2,88,88,96,8,8,,32.0,2.0000,
moonshotai/kimi-k2-0905,112,112,120,11,8,,,1.3125,
moonshotai/kimi-k2-thinking,88,88,96,8,8,,,3241.0625,
moonshotai/kimi-k2.5,52,52,56,5,4,,,585.8125,
qwen/qwen-2.5-72b-instruct,44,44,48,4,4,72.0,72.0,2.0000,
qwen/qwen-2.5-7b-instruct,0,0,32,0,32,7.0,7.0,,
qwen/qwen-2.5-coder-32b-instruct,0,0,32,0,3,32.0,32.0,,
qwen/qwen3-14b,32,32,36,3,4,14.8,14.8,1255.5625,
qwen/qwen3-235b-a22b,44,44,48,4,4,235.0,22.0,2420.3750,
qwen/qwen3-235b-a22b-2507,68,68,72,6,4,235.0,22.0,2.7500,
qwen/qwen3-235b-a22b-thinking-2507,52,52,56,5,4,235.0,22.0,8026.3958,
qwen/qwen3-30b-a3b,44,44,48,4,4,30.0,3.0,2351.5000,
qwen/qwen3-30b-a3b-instruct-2507,48,48,52,4,4,30.0,3.0,2.5312,
qwen/qwen3-30b-a3b-thinking-2507,0,0,32,0,32,30.0,3.0,,
qwen/qwen3-32b,32,32,36,3,4,32.8,32.8,821.1250,
qwen/qwen3-8b,0,0,32,0,32,8.2,8.2,,
qwen/qwen3-coder,0,0,32,0,32,480.0,35.0,,
qwen/qwen3-coder-30b-a3b-instruct,40,40,44,4,4,30.0,3.0,2.0000,
qwen/qwen3-coder-next,40,40,44,4,4,80.0,3.0,3.0000,
qwen/qwen3-next-80b-a3b-instruct,48,48,52,4,4,80.0,3.0,2.6250,
qwen/qwen3-next-80b-a3b-thinking,52,52,56,5,4,80.0,3.0,4921.3750,
qwen/qwen3.5-122b-a10b,52,52,56,5,4,122.0,10.0,3425.8542,
qwen/qwen3.5-27b,40,40,44,4,4,27.0,27.0,1967.0938,
qwen/qwen3.5-35b-a3b,32,32,36,3,4,35.0,3.0,1637.3750,
qwen/qwen3.5-397b-a17b,80,80,88,8,8,397.0,17.0,4462.6667,
qwen/qwen3.5-9b,0,0,32,0,32,9.0,9.0,,
qwen/qwq-32b,32,32,36,3,4,32.0,32.0,1691.9375,
z-ai/glm-4.5,60,60,64,6,4,,,291.4688,
z-ai/glm-4.5-air,44,44,48,4,4,,,251.2917,
z-ai/glm-4.6,36,36,40,3,4,,,816.2500,
z-ai/glm-4.7,48,48,52,4,4,,,452.1875,
z-ai/glm-4.7-flash,0,0,32,0,32,30.0,30.0,,
z-ai/glm-5,36,36,40,3,4,,,713.7812,
z-ai/glm-5.1,64,64,68,6,4,,,1027.9375,
__notes__,,,,,,,,,"ladder_token_limit_models=deepseek/deepseek-r1-distill-llama-70b,deepseek/deepseek-v3.2-speciale,gemma-4-26b-a4b-it,gemma-4-31b-it,minimax/minimax-m2.7,qwen/qwen3-14b,qwen/qwen3-32b,qwen/qwen3.5-35b-a3b,z-ai/glm-4.6,z-ai/glm-5,z-ai/glm-5.1"
