model,cc,cc_lower_bound,cc_upper_bound,error_bar_lower,error_bar_upper,total_params_billion,active_params_billion,avg_output_tokens_at_cc,notes
gpt-5.4__baseline-a-comma,512,512,544,51,32,,,5.0000,
gpt-5.4__letter-b-comma,480,480,512,48,32,,,5.0000,
gpt-5.4__letter-x-comma,576,576,608,57,32,,,5.0000,
gpt-5.4__double-aa-comma,208,208,224,20,16,,,5.0000,
gpt-5.4__greek-alpha-comma,480,480,512,48,32,,,5.0000,
gpt-5.4__greek-beta-comma,544,544,576,54,32,,,5.0000,
gpt-5.4__chinese-han-comma,640,640,704,64,64,,,5.0000,
gpt-5.4__chinese-zhong-comma,240,240,256,24,16,,,5.0000,
gpt-5.4__letter-a-space,176,176,192,17,16,,,5.0000,
gpt-5.4__letter-a-pipe,224,224,240,22,16,,,5.0000,
gpt-5.4__letter-a-section,104,104,112,10,8,,,5.0000,
gemini-3-flash-preview__baseline-a-comma,256,256,272,25,16,,,9.8750,
gemini-3-flash-preview__letter-b-comma,240,240,256,24,16,,,2.4479,
gemini-3-flash-preview__letter-x-comma,208,208,224,20,16,,,2.6250,
gemini-3-flash-preview__double-aa-comma,320,320,352,32,32,,,2.5000,
gemini-3-flash-preview__greek-alpha-comma,240,240,256,24,16,,,2.4375,
gemini-3-flash-preview__greek-beta-comma,352,352,384,35,32,,,3.1354,
gemini-3-flash-preview__chinese-han-comma,240,240,256,24,16,,,2.4479,
gemini-3-flash-preview__chinese-zhong-comma,224,224,240,22,16,,,2.5125,
gemini-3-flash-preview__letter-a-space,384,384,416,38,32,,,8.4125,
gemini-3-flash-preview__letter-a-pipe,240,240,256,24,16,,,3.1146,
gemini-3-flash-preview__letter-a-section,120,120,128,12,8,,,12.5375,
claude-sonnet-4-6__baseline-a-comma,480,480,512,48,32,,,614.4821,
claude-sonnet-4-6__letter-b-comma,416,416,448,41,32,,,515.0000,
claude-sonnet-4-6__letter-x-comma,480,480,512,48,32,,,605.2321,
claude-sonnet-4-6__double-aa-comma,544,544,576,54,32,,,596.4167,
claude-sonnet-4-6__greek-alpha-comma,384,384,416,38,32,,,430.7250,
claude-sonnet-4-6__greek-beta-comma,512,512,544,51,32,,,494.2250,
claude-sonnet-4-6__chinese-han-comma,320,320,352,32,32,,,680.6000,
claude-sonnet-4-6__chinese-zhong-comma,352,352,384,35,32,,,588.8229,
claude-sonnet-4-6__letter-a-space,104,104,112,10,8,,,51.5000,
claude-sonnet-4-6__letter-a-pipe,352,352,384,35,32,,,455.6979,
claude-sonnet-4-6__letter-a-section,36,36,40,3,4,,,165.3438,
__notes__,,,,,,,,,"ladder_token_limit_models=gemini-3-flash-preview__baseline-a-comma,gemini-3-flash-preview__chinese-han-comma,gemini-3-flash-preview__chinese-zhong-comma,gemini-3-flash-preview__double-aa-comma,gemini-3-flash-preview__greek-alpha-comma,gemini-3-flash-preview__greek-beta-comma,gemini-3-flash-preview__letter-a-pipe,gemini-3-flash-preview__letter-a-section,gemini-3-flash-preview__letter-a-space,gemini-3-flash-preview__letter-b-comma,gemini-3-flash-preview__letter-x-comma"
