model,condition,level,n,parseable,exact_count,mean_error,median_error,mean_abs_error,reported_errors,copied_errors
claude-sonnet-4-6,agent_count_insert,56,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,96,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,148,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,207,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,241,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,310,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,354,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]",-
claude-sonnet-4-6,agent_count_insert,391,6,6,0,-1.00,-1.00,1.00,"[-1, -1, -1, -1, -1, -1]",-
claude-sonnet-4-6,agent_count_insert,446,6,6,0,-1.00,-1.00,1.00,"[-1, -1, -1, -1, -1, -1]",-
claude-sonnet-4-6,agent_count_insert,508,6,6,0,-35.33,-2.00,35.33,"[-2, -202, -2, -2, -2, -2]",-
claude-sonnet-4-6,agent_count_insert,555,6,6,0,-7.17,-12.00,9.83,"[-12, -2, -12, -13, -12, 8]",-
claude-sonnet-4-6,agent_count_insert,608,6,6,0,7.00,7.00,7.00,"[7, 12, 2, 7, 7, 7]",-
claude-sonnet-4-6,agent_count_insert,658,6,6,0,10.17,3.50,24.50,"[92, 2, 5, -20, 5, -23]",-
claude-sonnet-4-6,agent_count_insert,697,6,6,0,78.00,73.00,78.00,"[73, 103, 73, 73, 73, 73]",-
claude-sonnet-4-6,agent_count_insert,746,6,6,0,-38.67,74.00,144.33,"[-325, 95, 74, 74, 74, -224]",-
claude-sonnet-4-6,agent_count_insert,790,6,6,0,41.67,20.00,62.67,"[63, 30, -33, 210, 10, -30]",-
claude-sonnet-4-6,agent_count_insert,855,6,6,0,143.33,160.00,151.67,"[175, 245, 145, -25, 145, 175]",-
claude-sonnet-4-6,agent_count_insert,908,6,6,0,108.67,92.00,108.67,"[92, 92, 92, 192, 92, 92]",-
claude-sonnet-4-6,agent_count_insert,957,6,6,0,43.00,43.00,43.00,"[43, 43, 43, 43, 43, 43]",-
claude-sonnet-4-6,agent_count_insert,999,6,6,0,17.67,1.00,17.67,"[1, 1, 1, 101, 1, 1]",-
claude-sonnet-4-6,copy_externalize,51,1,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_externalize,91,1,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_externalize,144,1,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_externalize,196,1,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_externalize,251,1,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_externalize,303,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,354,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,396,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,458,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,499,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,545,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,606,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,654,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,696,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,753,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,791,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,851,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,895,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,947,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_externalize,996,1,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,51,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
claude-sonnet-4-6,copy_then_agent,91,6,6,6,0.00,0.00,0.00,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
claude-sonnet-4-6,copy_then_agent,144,6,4,4,0.00,0.00,0.00,"[0, 0, 0, 0]","[0, 0, 0, 0]"
claude-sonnet-4-6,copy_then_agent,196,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,251,6,1,1,0.00,0.00,0.00,[0],[0]
claude-sonnet-4-6,copy_then_agent,303,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,354,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,396,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,458,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,499,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,545,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,606,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,654,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,696,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,753,6,0,0,-,-,-,-,-
claude-sonnet-4-6,copy_then_agent,791,6,0,0,-,-,-,-,-
