variant,variant_label,item,delimiter,initial_exact_prefix,first_failure,max_exact_count,accuracy,mean_prompt_tokens,top_failed_attractors
a_comma,a + comma,a,", ",26,27,60,0.45,119.0,"[[60, 22], [50, 6], [40, 4], [43, 3], [30, 2], [36, 2], [46, 2], [26, 1]]"
a_pipe,a + pipe,a, | ,16,17,60,0.4125,119.0,"[[60, 27], [30, 5], [43, 4], [45, 4], [40, 2], [16, 1], [26, 1], [32, 1]]"
a_section,a + section,a, § ,18,19,60,0.3125,119.0,"[[60, 26], [40, 14], [30, 7], [26, 3], [70, 2], [20, 1], [21, 1], [22, 1]]"
a_space,a + space,a, ,11,12,60,0.25,79.5,"[[60, 28], [30, 10], [70, 5], [40, 3], [20, 2], [25, 2], [50, 2], [13, 1]]"
aa_comma,aa + comma,aa,", ",26,27,60,0.4625,119.0,"[[60, 15], [50, 13], [40, 4], [30, 2], [36, 2], [43, 2], [26, 1], [32, 1]]"
alpha_comma,alpha + comma,α,", ",26,27,39,0.4125,119.0,"[[60, 17], [50, 10], [43, 6], [42, 3], [36, 2], [40, 2], [26, 1], [30, 1]]"
b_comma,b + comma,b,", ",26,27,60,0.4125,119.0,"[[60, 22], [40, 7], [50, 5], [36, 3], [30, 2], [42, 2], [43, 2], [26, 1]]"
beta_comma,beta + comma,β,", ",26,27,60,0.4125,119.0,"[[60, 21], [42, 5], [43, 4], [50, 4], [36, 3], [32, 2], [40, 2], [26, 1]]"
han_comma,han + comma,汉,", ",36,37,60,0.5125,158.5,"[[60, 17], [50, 11], [42, 2], [45, 2], [48, 2], [36, 1], [37, 1], [40, 1]]"
x_comma,x + comma,x,", ",26,27,60,0.4,119.0,"[[60, 22], [50, 4], [43, 3], [46, 3], [36, 2], [39, 2], [40, 2], [45, 2]]"
zhong_comma,zhong + comma,中,", ",26,27,32,0.375,119.0,"[[60, 15], [50, 6], [45, 5], [43, 4], [42, 3], [47, 3], [36, 2], [39, 2]]"
